Statistic,Quarter,Type.of.House,value
New Dwelling Completions,2011Q1,Single house,1156
New Dwelling Completions,2011Q1,Scheme house,447
New Dwelling Completions,2011Q1,Apartment,272
New Dwelling Completions,2011Q1,All house types,1875
New Dwelling Completions,2011Q2,Single house,1194
New Dwelling Completions,2011Q2,Scheme house,380
New Dwelling Completions,2011Q2,Apartment,217
New Dwelling Completions,2011Q2,All house types,1791
New Dwelling Completions,2011Q3,Single house,1197
New Dwelling Completions,2011Q3,Scheme house,305
New Dwelling Completions,2011Q3,Apartment,185
New Dwelling Completions,2011Q3,All house types,1687
New Dwelling Completions,2011Q4,Single house,1267
New Dwelling Completions,2011Q4,Scheme house,226
New Dwelling Completions,2011Q4,Apartment,148
New Dwelling Completions,2011Q4,All house types,1641
New Dwelling Completions,2012Q1,Single house,797
New Dwelling Completions,2012Q1,Scheme house,211
New Dwelling Completions,2012Q1,Apartment,123
New Dwelling Completions,2012Q1,All house types,1131
New Dwelling Completions,2012Q2,Single house,847
New Dwelling Completions,2012Q2,Scheme house,194
New Dwelling Completions,2012Q2,Apartment,76
New Dwelling Completions,2012Q2,All house types,1117
New Dwelling Completions,2012Q3,Single house,868
New Dwelling Completions,2012Q3,Scheme house,244
New Dwelling Completions,2012Q3,Apartment,93
New Dwelling Completions,2012Q3,All house types,1205
New Dwelling Completions,2012Q4,Single house,989
New Dwelling Completions,2012Q4,Scheme house,315
New Dwelling Completions,2012Q4,Apartment,154
New Dwelling Completions,2012Q4,All house types,1458
New Dwelling Completions,2013Q1,Single house,638
New Dwelling Completions,2013Q1,Scheme house,174
New Dwelling Completions,2013Q1,Apartment,77
New Dwelling Completions,2013Q1,All house types,889
New Dwelling Completions,2013Q2,Single house,721
New Dwelling Completions,2013Q2,Scheme house,281
New Dwelling Completions,2013Q2,Apartment,144
New Dwelling Completions,2013Q2,All house types,1146
New Dwelling Completions,2013Q3,Single house,727
New Dwelling Completions,2013Q3,Scheme house,267
New Dwelling Completions,2013Q3,Apartment,39
New Dwelling Completions,2013Q3,All house types,1033
New Dwelling Completions,2013Q4,Single house,861
New Dwelling Completions,2013Q4,Scheme house,433
New Dwelling Completions,2013Q4,Apartment,213
New Dwelling Completions,2013Q4,All house types,1507
New Dwelling Completions,2014Q1,Single house,625
New Dwelling Completions,2014Q1,Scheme house,309
New Dwelling Completions,2014Q1,Apartment,160
New Dwelling Completions,2014Q1,All house types,1094
New Dwelling Completions,2014Q2,Single house,712
New Dwelling Completions,2014Q2,Scheme house,365
New Dwelling Completions,2014Q2,Apartment,241
New Dwelling Completions,2014Q2,All house types,1318
New Dwelling Completions,2014Q3,Single house,728
New Dwelling Completions,2014Q3,Scheme house,506
New Dwelling Completions,2014Q3,Apartment,170
New Dwelling Completions,2014Q3,All house types,1404
New Dwelling Completions,2014Q4,Single house,910
New Dwelling Completions,2014Q4,Scheme house,615
New Dwelling Completions,2014Q4,Apartment,177
New Dwelling Completions,2014Q4,All house types,1702
New Dwelling Completions,2015Q1,Single house,659
New Dwelling Completions,2015Q1,Scheme house,606
New Dwelling Completions,2015Q1,Apartment,106
New Dwelling Completions,2015Q1,All house types,1371
New Dwelling Completions,2015Q2,Single house,735
New Dwelling Completions,2015Q2,Scheme house,674
New Dwelling Completions,2015Q2,Apartment,161
New Dwelling Completions,2015Q2,All house types,1570
New Dwelling Completions,2015Q3,Single house,879
New Dwelling Completions,2015Q3,Scheme house,899
New Dwelling Completions,2015Q3,Apartment,255
New Dwelling Completions,2015Q3,All house types,2033
New Dwelling Completions,2015Q4,Single house,979
New Dwelling Completions,2015Q4,Scheme house,1115
New Dwelling Completions,2015Q4,Apartment,151
New Dwelling Completions,2015Q4,All house types,2245
New Dwelling Completions,2016Q1,Single house,686
New Dwelling Completions,2016Q1,Scheme house,926
New Dwelling Completions,2016Q1,Apartment,325
New Dwelling Completions,2016Q1,All house types,1937
New Dwelling Completions,2016Q2,Single house,872
New Dwelling Completions,2016Q2,Scheme house,1248
New Dwelling Completions,2016Q2,Apartment,249
New Dwelling Completions,2016Q2,All house types,2369
New Dwelling Completions,2016Q3,Single house,969
New Dwelling Completions,2016Q3,Scheme house,1217
New Dwelling Completions,2016Q3,Apartment,264
New Dwelling Completions,2016Q3,All house types,2450
New Dwelling Completions,2016Q4,Single house,1065
New Dwelling Completions,2016Q4,Scheme house,1638
New Dwelling Completions,2016Q4,Apartment,269
New Dwelling Completions,2016Q4,All house types,2972
New Dwelling Completions,2017Q1,Single house,868
New Dwelling Completions,2017Q1,Scheme house,1409
New Dwelling Completions,2017Q1,Apartment,466
New Dwelling Completions,2017Q1,All house types,2743
New Dwelling Completions,2017Q2,Single house,1024
New Dwelling Completions,2017Q2,Scheme house,1766
New Dwelling Completions,2017Q2,Apartment,445
New Dwelling Completions,2017Q2,All house types,3235
New Dwelling Completions,2017Q3,Single house,1112
New Dwelling Completions,2017Q3,Scheme house,1996
New Dwelling Completions,2017Q3,Apartment,611
New Dwelling Completions,2017Q3,All house types,3719
New Dwelling Completions,2017Q4,Single house,1217
New Dwelling Completions,2017Q4,Scheme house,2685
New Dwelling Completions,2017Q4,Apartment,631
New Dwelling Completions,2017Q4,All house types,4533
New Dwelling Completions,2018Q1,Single house,958
New Dwelling Completions,2018Q1,Scheme house,2005
New Dwelling Completions,2018Q1,Apartment,469
New Dwelling Completions,2018Q1,All house types,3432
New Dwelling Completions,2018Q2,Single house,1144
New Dwelling Completions,2018Q2,Scheme house,2751
New Dwelling Completions,2018Q2,Apartment,463
New Dwelling Completions,2018Q2,All house types,4358
New Dwelling Completions,2018Q3,Single house,1199
New Dwelling Completions,2018Q3,Scheme house,2828
New Dwelling Completions,2018Q3,Apartment,570
New Dwelling Completions,2018Q3,All house types,4597
New Dwelling Completions,2018Q4,Single house,1337
New Dwelling Completions,2018Q4,Scheme house,3362
New Dwelling Completions,2018Q4,Apartment,704
New Dwelling Completions,2018Q4,All house types,5403
New Dwelling Completions,2019Q1,Single house,1091
New Dwelling Completions,2019Q1,Scheme house,2563
New Dwelling Completions,2019Q1,Apartment,570
New Dwelling Completions,2019Q1,All house types,4224
New Dwelling Completions,2019Q2,Single house,1322
New Dwelling Completions,2019Q2,Scheme house,2831
New Dwelling Completions,2019Q2,Apartment,642
New Dwelling Completions,2019Q2,All house types,4795
New Dwelling Completions,2019Q3,Single house,1255
New Dwelling Completions,2019Q3,Scheme house,3311
New Dwelling Completions,2019Q3,Apartment,1043
New Dwelling Completions,2019Q3,All house types,5609
New Dwelling Completions,2019Q4,Single house,1411
New Dwelling Completions,2019Q4,Scheme house,3821
New Dwelling Completions,2019Q4,Apartment,1173
New Dwelling Completions,2019Q4,All house types,6405
New Dwelling Completions,2020Q1,Single house,1105
New Dwelling Completions,2020Q1,Scheme house,2837
New Dwelling Completions,2020Q1,Apartment,987
