Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2011Q1,Single house,Cork City Council,8
New Dwelling Completion,2011Q1,Single house,Clare County Council,45
New Dwelling Completion,2011Q1,Single house,Cavan County Council,21
New Dwelling Completion,2011Q1,Single house,Cork County Council,145
New Dwelling Completion,2011Q1,Single house,Carlow County Council,17
New Dwelling Completion,2011Q1,Single house,Dublin City Council,6
New Dwelling Completion,2011Q1,Single house,Dún Laoghaire Rathdown County Council,16
New Dwelling Completion,2011Q1,Single house,Donegal County Council,82
New Dwelling Completion,2011Q1,Single house,Fingal County Council,17
New Dwelling Completion,2011Q1,Single house,Galway County Council,92
New Dwelling Completion,2011Q1,Single house,Galway City Council,3
New Dwelling Completion,2011Q1,Single house,Kildare County Council,37
New Dwelling Completion,2011Q1,Single house,Kilkenny County Council,36
New Dwelling Completion,2011Q1,Single house,Kerry County Council,51
New Dwelling Completion,2011Q1,Single house,Longford County Council,9
New Dwelling Completion,2011Q1,Single house,Louth County Council,34
New Dwelling Completion,2011Q1,Single house,Limerick City & County Council,49
New Dwelling Completion,2011Q1,Single house,Leitrim County Council,20
New Dwelling Completion,2011Q1,Single house,Laois County Council,22
New Dwelling Completion,2011Q1,Single house,Meath County Council,57
New Dwelling Completion,2011Q1,Single house,Monaghan County Council,23
New Dwelling Completion,2011Q1,Single house,Mayo County Council,64
New Dwelling Completion,2011Q1,Single house,Offaly County Council,23
New Dwelling Completion,2011Q1,Single house,Roscommon County Council,26
New Dwelling Completion,2011Q1,Single house,South Dublin County Council,13
New Dwelling Completion,2011Q1,Single house,Sligo County Council,38
New Dwelling Completion,2011Q1,Single house,Tipperary County Council,40
New Dwelling Completion,2011Q1,Single house,Waterford City & County Council,35
New Dwelling Completion,2011Q1,Single house,Westmeath County Council,22
New Dwelling Completion,2011Q1,Single house,Wicklow County Council,40
New Dwelling Completion,2011Q1,Single house,Wexford County Council,65
New Dwelling Completion,2011Q1,Single house,Ireland,1156
New Dwelling Completion,2011Q1,Scheme house,Cork City Council,26
New Dwelling Completion,2011Q1,Scheme house,Clare County Council,6
New Dwelling Completion,2011Q1,Scheme house,Cavan County Council,39
New Dwelling Completion,2011Q1,Scheme house,Cork County Council,22
New Dwelling Completion,2011Q1,Scheme house,Carlow County Council,0
New Dwelling Completion,2011Q1,Scheme house,Dublin City Council,7
New Dwelling Completion,2011Q1,Scheme house,Dún Laoghaire Rathdown County Council,6
New Dwelling Completion,2011Q1,Scheme house,Donegal County Council,24
New Dwelling Completion,2011Q1,Scheme house,Fingal County Council,113
New Dwelling Completion,2011Q1,Scheme house,Galway County Council,1
New Dwelling Completion,2011Q1,Scheme house,Galway City Council,5
New Dwelling Completion,2011Q1,Scheme house,Kildare County Council,17
New Dwelling Completion,2011Q1,Scheme house,Kilkenny County Council,1
New Dwelling Completion,2011Q1,Scheme house,Kerry County Council,8
New Dwelling Completion,2011Q1,Scheme house,Longford County Council,2
New Dwelling Completion,2011Q1,Scheme house,Louth County Council,14
New Dwelling Completion,2011Q1,Scheme house,Limerick City & County Council,1
New Dwelling Completion,2011Q1,Scheme house,Leitrim County Council,0
New Dwelling Completion,2011Q1,Scheme house,Laois County Council,12
New Dwelling Completion,2011Q1,Scheme house,Meath County Council,10
New Dwelling Completion,2011Q1,Scheme house,Monaghan County Council,3
New Dwelling Completion,2011Q1,Scheme house,Mayo County Council,3
New Dwelling Completion,2011Q1,Scheme house,Offaly County Council,5
New Dwelling Completion,2011Q1,Scheme house,Roscommon County Council,0
New Dwelling Completion,2011Q1,Scheme house,South Dublin County Council,17
New Dwelling Completion,2011Q1,Scheme house,Sligo County Council,7
New Dwelling Completion,2011Q1,Scheme house,Tipperary County Council,12
New Dwelling Completion,2011Q1,Scheme house,Waterford City & County Council,60
New Dwelling Completion,2011Q1,Scheme house,Westmeath County Council,11
New Dwelling Completion,2011Q1,Scheme house,Wicklow County Council,7
New Dwelling Completion,2011Q1,Scheme house,Wexford County Council,8
New Dwelling Completion,2011Q1,Scheme house,Ireland,447
New Dwelling Completion,2011Q1,Apartment,Cork City Council,5
New Dwelling Completion,2011Q1,Apartment,Clare County Council,1
New Dwelling Completion,2011Q1,Apartment,Cavan County Council,1
New Dwelling Completion,2011Q1,Apartment,Cork County Council,1
