Statistic,Month,NACE.Rev.2.Sector,value
Services Index Value,2021 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),88.9
Services Index Value,2021 January,Transportation & Storage (H),74.1
Services Index Value,2021 January,Accommodation & Food Service Activities (I),38.7
Services Index Value,2021 January,Information & Communication (J),89.9
Services Index Value,2021 January,"Professional, Scientific & Technical Activities (M)",82.6
Services Index Value,2021 January,Administrative & Support Service Activities (N (excl. 7735)),79.4
Services Index Value,2021 January,"Other Service Activities (L, 92, 93, 95, 96)",80.0
Services Index Value,2021 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",85.6
Services Index Value,2021 January,Wholesale Trade (46),89.0
Services Index Value,2021 January,Accommodation (55),18.6
Services Index Value,2021 January,"Food Service Activities (561, 562)",66.3
Services Index Value,2021 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",81.1
Services Index Value,2021 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),92.6
Services Index Value,2021 February,Transportation & Storage (H),77.5
Services Index Value,2021 February,Accommodation & Food Service Activities (I),38.9
Services Index Value,2021 February,Information & Communication (J),84.0
Services Index Value,2021 February,"Professional, Scientific & Technical Activities (M)",82.8
Services Index Value,2021 February,Administrative & Support Service Activities (N (excl. 7735)),76.7
Services Index Value,2021 February,"Other Service Activities (L, 92, 93, 95, 96)",68.7
Services Index Value,2021 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",82.9
Services Index Value,2021 February,Wholesale Trade (46),90.4
Services Index Value,2021 February,Accommodation (55),19.8
Services Index Value,2021 February,"Food Service Activities (561, 562)",65.5
Services Index Value,2021 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",81.8
Services Index Value,2021 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),101.5
Services Index Value,2021 March,Transportation & Storage (H),90.6
Services Index Value,2021 March,Accommodation & Food Service Activities (I),46.3
Services Index Value,2021 March,Information & Communication (J),97.0
Services Index Value,2021 March,"Professional, Scientific & Technical Activities (M)",100.3
Services Index Value,2021 March,Administrative & Support Service Activities (N (excl. 7735)),80.8
Services Index Value,2021 March,"Other Service Activities (L, 92, 93, 95, 96)",67.5
Services Index Value,2021 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",94.7
Services Index Value,2021 March,Wholesale Trade (46),109.6
Services Index Value,2021 March,Accommodation (55),25.5
Services Index Value,2021 March,"Food Service Activities (561, 562)",77.0
