Statistic,Year,Item,value
Modified Gross National Income at Current Market Prices,1995,1. Gross domestic product at current market prices - ESA code (B.1*g),54759.0
Modified Gross National Income at Current Market Prices,1995,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-5948.0
Modified Gross National Income at Current Market Prices,1995,3. Gross national product at current market prices,48811.0
Modified Gross National Income at Current Market Prices,1995,4. EU subsidies - ESA code (D.3),1583.0
Modified Gross National Income at Current Market Prices,1995,5. EU taxes - ESA code (D.2),-262.0
Modified Gross National Income at Current Market Prices,1995,6. Gross national income at current market prices - ESA code (B.5*g),50131.0
Modified Gross National Income at Current Market Prices,1995,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,1995,8. Depreciation on R&D service imports and trade in IP,-16.0
Modified Gross National Income at Current Market Prices,1995,9. Depreciation on aircraft leasing,
Modified Gross National Income at Current Market Prices,1995,10. Modified gross national income at current market prices,50116.0
Modified Gross National Income at Current Market Prices,1996,1. Gross domestic product at current market prices - ESA code (B.1*g),60148.0
Modified Gross National Income at Current Market Prices,1996,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-6535.0
Modified Gross National Income at Current Market Prices,1996,3. Gross national product at current market prices,53612.0
Modified Gross National Income at Current Market Prices,1996,4. EU subsidies - ESA code (D.3),1996.0
Modified Gross National Income at Current Market Prices,1996,5. EU taxes - ESA code (D.2),-233.0
Modified Gross National Income at Current Market Prices,1996,6. Gross national income at current market prices - ESA code (B.5*g),55375.0
Modified Gross National Income at Current Market Prices,1996,7. Factor income of redomiciled companies,0.0
Modified Gross National Income at Current Market Prices,1996,8. Depreciation on R&D service imports and trade in IP,-47.0
Modified Gross National Income at Current Market Prices,1996,9. Depreciation on aircraft leasing,
Modified Gross National Income at Current Market Prices,1996,10. Modified gross national income at current market prices,55327.0
Modified Gross National Income at Current Market Prices,1997,1. Gross domestic product at current market prices - ESA code (B.1*g),69401.0
Modified Gross National Income at Current Market Prices,1997,2. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad),-8040.0
